Continent,Country,Date,Title,Region,SoilLEX.Keyword,translated.title,Link
Asia,Pakistan,10/10/1900,"Punjab Land Preservation Act, 1900 (Punjab Act II of 1900).",Punjab,Soil conservation,"Punjab Land Preservation Act, 1900 (Punjab Act II of 1900).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC083540/
Asia,Pakistan,10/10/1900,"Punjab Land Preservation Act, 1900 (Punjab Act II of 1900).",Punjab,Soil erosion,"Punjab Land Preservation Act, 1900 (Punjab Act II of 1900).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC083540/
Asia,Israel,1/01/1922,Sand Erosion Order.,National,Soil erosion,Sand Erosion Order.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC033336/
Oceania,Australia,13/10/1938,Soil Conservation Act 1938.,New South Wales,Soil conservation,Soil Conservation Act 1938.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002846/
Oceania,Australia,13/10/1938,Soil Conservation Act 1938.,New South Wales,Soil erosion,Soil Conservation Act 1938.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002846/
Oceania,Australia,13/10/1938,Soil Conservation Act 1938.,New South Wales,Soil monitoring,Soil Conservation Act 1938.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002846/
South America,Colombia,17/07/1940,Decreto Nş 1.383 - Medidas para la defensa y aprovechamiento de bosques.,National,Soil conservation,"Decree No. 1,383 - Measures for the defense and use of forests.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC024889/
North America,United States of America,1/01/1941,"Soil and Water Conservation (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 582; ss. 582.01-582.32)",Florida,Soil conservation,"Soil and Water Conservation (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 582; ss. 582.01-582.32)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179180/
North America,United States of America,1/01/1941,"General Agricultural Laws (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 604; ss. 604.001-604.60)",Florida,Soil erosion,"General Agricultural Laws (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 604; ss. 604.001-604.60)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179198/
North America,United States of America,1/01/1941,"Soil and Water Conservation (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 582; ss. 582.01-582.32)",Florida,Soil erosion,"Soil and Water Conservation (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 582; ss. 582.01-582.32)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179180/
North America,United States of America,1/01/1941,"General Agricultural Laws (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 604; ss. 604.001-604.60)",Florida,Soil pollution,"General Agricultural Laws (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 604; ss. 604.001-604.60)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179198/
North America,United States of America,1/01/1941,"Resource Extraction Reclamation (Florida Statutes: Title XXVIII Natural Resources; Conservation, Reclamation, and Use; Chapter 378 Land Reclamation; Part III; ss. 378.401-378.901)",Florida,Soil pollution,"Resource Extraction Reclamation (Florida Statutes: Title XXVIII Natural Resources; Conservation, Reclamation, and Use; Chapter 378 Land Reclamation; Part III; ss. 378.401-378.901)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC182731/
North America,United States of America,1/01/1941,"Soil and Water Conservation (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 582; ss. 582.01-582.32)",Florida,Soil pollution,"Soil and Water Conservation (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 582; ss. 582.01-582.32)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179180/
North America,United States of America,1/01/1941,"General Agricultural Laws (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 604; ss. 604.001-604.60)",Florida,Soil quality,"General Agricultural Laws (Florida Statutes: Title XXXV Agriculture, Horticulture, and Animal Industry; Chapter 604; ss. 604.001-604.60)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179198/
North America,United States of America,1/01/1941,"Resource Extraction Reclamation (Florida Statutes: Title XXVIII Natural Resources; Conservation, Reclamation, and Use; Chapter 378 Land Reclamation; Part III; ss. 378.401-378.901)",Florida,Soil quality,"Resource Extraction Reclamation (Florida Statutes: Title XXVIII Natural Resources; Conservation, Reclamation, and Use; Chapter 378 Land Reclamation; Part III; ss. 378.401-378.901)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC182731/
North America,United States of America,1/01/1941,"Resource Extraction Reclamation (Florida Statutes: Title XXVIII Natural Resources; Conservation, Reclamation, and Use; Chapter 378 Land Reclamation; Part III; ss. 378.401-378.901)",Florida,Soil restoration,"Resource Extraction Reclamation (Florida Statutes: Title XXVIII Natural Resources; Conservation, Reclamation, and Use; Chapter 378 Land Reclamation; Part III; ss. 378.401-378.901)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC182731/
Asia,Israel,1/01/1941,"Land Erosion Order (Prevention), 1941",National,Soil erosion,"Land Erosion Order (Prevention), 1941",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC030005/
Oceania,New Zealand,29/09/1941,Soil Conservation and Rivers Control Acts 1941 (No. 12 of 1941).,National,Soil conservation,Soil Conservation and Rivers Control Acts 1941 (No. 12 of 1941).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC069530/
